City,Last Sold For ($),Last Sold Year,Latitude (degrees),Longitude (degrees),Lot Size (sqft),Price ($),Price Sqr Ft,State,Year Built,Zipcode,airconditioning,area (sqft),basement,bathrooms,bedrooms,furnishingstatus,guestroom,hotwaterheating,mainroad,parking,prefarea,price,stories
Tulsa,35000.0,2014.0,36.214306,-95.984,7492.0,39900.0,$5/sqft,OK,1952.0,74106.0,yes,7420.0,no,2,4,2,no,no,yes,2,yes,13300000,3
Portland,,,45.512108,-122.69719,0.32,2300000.0,$257/sqft,OR,1890.0,97201.0,yes,8960.0,no,4,4,2,no,no,yes,3,no,12250000,4
Houston,,,29.77393,-95.460495,0.69,7990000.0,$888/sqft,TX,2019.0,77024.0,yes,8960.0,no,4,4,2,no,no,yes,3,no,12250000,4
Chesapeake,,,36.800583,-76.42202,,445700.0,$45/sqft,VA,2019.0,23321.0,no,9960.0,yes,2,3,1,no,no,yes,2,yes,12250000,2
Tulsa,35000.0,2014.0,36.214306,-95.984,7492.0,39900.0,$5/sqft,OK,1952.0,74106.0,yes,7500.0,yes,2,4,2,no,no,yes,3,yes,12215000,2
Tulsa,35000.0,2014.0,36.214306,-95.984,7492.0,39900.0,$5/sqft,OK,1952.0,74106.0,yes,7420.0,yes,1,4,2,yes,no,yes,2,no,11410000,2
Long Beach,2600000.0,2015.0,33.7725,-118.17579,0.41,3999000.0,$461/sqft,CA,1927.0,90802.0,yes,8580.0,no,3,4,1,no,no,yes,2,yes,10150000,4
Henderson,,,36.005226,-115.05227,1.08,5900000.0,$686/sqft,NV,2019.0,89012.0,yes,8580.0,no,3,4,1,no,no,yes,2,yes,10150000,4
Philadelphia,350000.0,2019.0,39.970753,-75.13896,2300.0,2000000.0,$250/sqft,PA,1915.0,19122.0,yes,8100.0,yes,1,4,2,yes,no,yes,2,yes,9870000,2
Brooklyn,,,40.67506,-73.97766,2034.0,1175000.0,$206/sqft,NY,1920.0,11215.0,yes,5750.0,no,2,3,0,yes,no,yes,1,yes,9800000,4
Houston,,,29.990147,-95.524185,0.4,624950.0,$105/sqft,TX,1993.0,77069.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Colorado Springs,765000.0,2002.0,38.877827,-104.90504,2.84,1180000.0,$198/sqft,CO,1993.0,80904.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Madison,,,43.115532,-89.37493,1.5,1800000.0,$301/sqft,WI,1965.0,53704.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
Los Angeles,575000.0,2018.0,34.04805,-118.20617,6998.0,2399999.0,$400/sqft,CA,2019.0,90033.0,no,6000.0,yes,3,4,1,yes,yes,yes,2,no,9681000,2
