Sqr Ft (sqft),Beds,Bath,Lot Size (sqft),Age,Beds_Bath,Sqr Ft^2,Price ($)
7.382124365737512,3.0,2.0,8.747193183526933,58.0,6.0,2579236.0,149000.0
8.503499864284235,5.0,3.0,8.669227347271736,16.0,15.0,24314761.0,398999.99999999977
7.138866999945524,4.0,2.0,9.021235862885396,54.0,8.0,1585081.0,139900.0000000001
7.3453648404168685,3.0,3.0,8.098034756176071,56.0,9.0,2396304.0,259999.9999999998
7.302496423727326,4.0,2.0,8.537191877922927,65.0,8.0,2199289.0,899999.9999999995
7.223295679562314,3.0,3.0,8.51699317141357,39.0,9.0,1876900.0,239900.0000000001
7.520234556474628,3.0,2.0,8.836228571526014,10.0,6.0,3400336.0,294999.9999999998
6.7661917146603505,1.0,2.0,6.7661917146603505,4.0,2.0,751689.0,315999.99999999994
8.260751354700513,3.0,4.0,8.669227347271736,65.0,12.0,14961424.0,699900.0000000002
6.921658184151129,2.0,1.0,6.946013991099227,143.0,2.0,1026169.0,649000.0000000006
7.606387389772652,4.0,3.0,8.669227347271736,61.0,12.0,4040100.0,628999.9999999997
6.78105762593618,2.0,1.0,8.97941663334301,78.0,2.0,774400.0,349999.9999999997
7.496097345175956,3.0,3.0,8.38776764397578,73.0,9.0,3240000.0,774887.9999999994
7.6783263565068856,3.0,2.0,8.497398564088058,95.0,6.0,4665600.0,272500.00000000006
8.400884069015854,4.0,4.0,8.669227347271736,20.0,16.0,19802500.0,659999.9999999995
7.732807530422021,3.0,3.0,8.669227347271736,8.0,9.0,5202961.0,395000.00000000035
8.057694194815587,5.0,4.0,8.669227347271736,4.0,20.0,9966649.0,339000.00000000023
7.734996194022781,3.0,3.0,8.669227347271736,11.0,9.0,5225796.0,281849.99999999977
7.085901464365611,2.0,2.0,7.592366128519796,43.0,4.0,1425636.0,474000.0000000003
7.135687347028144,2.0,2.0,7.135687347028144,31.0,4.0,1575025.0,244999.99999999997
7.893945138235959,5.0,3.0,8.517393171418904,4.0,15.0,7182400.0,719899.9999999994
7.988882253309227,3.0,3.0,8.669227347271736,71.0,9.0,8684809.0,584950.0000000002
7.305860032684009,3.0,2.0,8.669227347271736,44.0,6.0,2214144.0,169900.00000000003
6.892641641172089,2.0,2.0,8.79497643168877,67.0,4.0,968256.0,164900.00000000006
7.845807502637805,4.0,3.0,8.967121656230923,6.0,12.0,6522916.0,474999.99999999977
7.400620577371135,3.0,2.0,8.669227347271736,76.0,6.0,2676496.0,169949.99999999988
7.293697720601438,3.0,2.0,8.895903562215581,74.0,6.0,2160900.0,219799.99999999983
8.681011276645632,6.0,9.0,8.669227347271736,8.0,54.0,34680321.0,1179999.9999999993
7.839525581704678,3.0,2.0,8.453401058328458,102.0,6.0,6441444.0,889000.0000000006
7.661527081358517,4.0,2.0,8.669227347271736,45.0,8.0,4511376.0,209499.9999999999
7.467942332285852,2.0,2.0,8.669227347271736,53.0,4.0,3062500.0,279499.9999999999
7.527255919373784,2.0,3.0,8.669227347271736,13.0,6.0,3448449.0,299900.0
7.62608275807238,3.0,3.0,8.79497643168877,14.0,9.0,4202500.0,278000.0000000002
7.115582126184454,2.0,3.0,6.714170529909472,16.0,6.0,1512900.0,184000.00000000015
7.4821189235521155,4.0,3.0,8.855663430700124,46.0,12.0,3150625.0,198300.0
8.219056661060598,4.0,4.0,8.770128527538184,10.0,16.0,13764100.0,449999.99999999994
6.9584483932976555,2.0,1.0,8.698013622083925,90.0,2.0,1104601.0,444999.9999999997
7.13966033596492,2.0,2.0,8.669227347271736,57.0,4.0,1587600.0,119899.9999999999
7.496097345175956,3.0,3.0,9.021235862885396,17.0,9.0,3240000.0,209900.00000000017
7.496097345175956,3.0,2.0,8.669227347271736,45.0,7.5,3240000.0,2400000.000000001
6.8966943316227125,3.0,1.0,8.399984990510696,77.0,3.0,976144.0,177900.0000000001
7.9102237070973445,4.0,3.5,9.212238569259263,8.0,14.0,7420176.0,499899.99999999994
7.71289096149013,3.0,3.0,8.022896869601457,10.0,9.0,4999696.0,295999.99999999977
7.803435056952168,3.0,3.0,8.669227347271736,4.0,9.0,5992704.0,532152.9999999998
7.5953872788539725,4.0,1.75,8.669227347271736,40.0,7.0,3952144.0,314900.0000000001
7.1459844677143876,4.0,2.0,9.109193189971226,75.0,8.0,1607824.0,162900.0000000001
8.388905171114706,8.0,3.0,8.798152718107191,97.0,24.0,19333609.0,544999.9999999997
9.225228984469933,4.0,9.0,8.669227347271736,19.0,36.0,103002201.0,4500000.000000002
6.959398512133975,2.0,1.0,8.849513965486398,70.0,2.0,1106704.0,54473.00000000004
7.792348924113037,4.0,4.0,8.379539026117442,5.0,16.0,5861241.0,424680.0
7.663407664893479,4.0,2.5,8.669227347271736,45.0,10.0,4528384.0,221899.9999999999
7.787382026484701,5.0,3.0,8.923058219545728,68.0,15.0,5803281.0,775000.0000000007
7.1731917424865985,2.0,2.0,8.669227347271736,26.0,4.0,1697809.0,499899.99999999994
8.343077871169383,3.0,4.0,8.669227347271736,19.0,12.0,17640000.0,4500000.000000002
7.1631723908466425,3.0,1.0,8.708804795117285,67.0,3.0,1664100.0,219999.99999999983
7.599901959208498,4.0,3.0,8.27410200229233,25.0,12.0,3988009.0,299777.0000000002
8.048788283534199,3.0,3.0,8.669227347271736,16.0,9.0,9790641.0,375000.00000000006
7.755767170102998,3.0,3.0,8.329416783939319,30.0,9.0,5447556.0,520000.0
7.410347097821024,4.0,2.0,8.699681400989514,61.0,8.0,2729104.0,947999.9999999993
7.663407664893479,6.0,3.0,8.669227347271736,113.0,18.0,4528384.0,649999.9999999995
7.1049654482698426,3.0,2.0,9.105090961257085,36.0,6.0,1481089.0,149500.00000000012
7.729735331385051,5.0,2.0,8.967121656230923,69.0,10.0,5171076.0,219898.0
7.206377291472252,4.0,1.0,8.669227347271736,45.0,4.0,1814409.0,175000.00000000012
7.496097345175956,3.0,2.0,8.539737155851132,45.0,7.5,3240000.0,4974.999999999996
6.705639094860003,2.0,2.0,8.669227347271736,74.0,7.5,665856.0,79000.00000000006
8.034306936339489,4.0,3.0,8.669227347271736,45.0,12.0,9511056.0,489989.99999999977
7.151485463904735,3.0,2.0,8.92771217382708,9.0,6.0,1625625.0,185000.00000000006
7.5569505720129,3.0,2.0,8.669227347271736,71.0,6.0,3659569.0,339900.00000000006
8.135639903354386,4.0,3.5,8.669227347271736,45.0,14.0,11648569.0,475990.00000000035
7.1372784372603855,3.0,2.0,7.173958319756794,24.0,6.0,1580049.0,209900.00000000017
7.321849713788356,3.0,2.0,7.496097345175956,64.0,6.0,2286144.0,145899.99999999994
7.782807262839695,5.0,3.0,8.94910546953925,53.0,15.0,5750404.0,284999.99999999994
7.173958319756794,3.0,2.0,8.669227347271736,103.0,6.0,1700416.0,119999.00000000006
7.496097345175956,3.0,2.0,8.697846691109495,45.0,7.5,3240000.0,95000.00000000001
7.8724551500639794,5.0,4.0,8.612685172875459,22.0,20.0,6880129.0,399500.00000000035
7.334981878871814,3.0,2.5,9.16785032035523,45.0,7.5,2347024.0,175399.99999999994
6.957497370876951,3.0,1.0,7.360103972989152,73.0,3.0,1102500.0,144900.00000000012
7.170888478512505,3.0,2.0,8.317033476492403,25.0,6.0,1690000.0,89900.00000000007
6.725033642166843,1.0,1.0,8.669227347271736,25.0,1.0,692224.0,228500.00000000003
7.357556200910353,2.0,2.0,8.669227347271736,16.0,4.0,2455489.0,1499999.9999999986
7.841492924460013,4.0,2.5,8.57922858233569,11.0,10.0,6466849.0,387999.9999999999
7.71333788887187,2.0,3.0,8.669227347271736,16.0,6.0,5004169.0,995000.0
11.557372879705524,3.0,2.0,8.669227347271736,45.0,7.5,10929447936.0,240000.00000000003
7.00850518208228,1.0,2.0,8.669227347271736,16.0,2.0,1221025.0,1239999.0000000002
8.240648863374913,5.0,4.0,8.669227347271736,45.0,20.0,14371681.0,459885.0000000002
7.270312886079025,3.0,2.0,9.271435471335993,69.0,6.0,2062096.0,309899.99999999977
7.534228326274089,3.0,2.0,8.669227347271736,45.0,6.0,3496900.0,367140.0000000003
8.288785810426928,4.0,3.0,8.669227347271736,18.0,12.0,15824484.0,525000.0000000003
